ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
317710093,"2, Изолированная",Квартира,м. Бабушкинская (5 мин на машине),"Москва, Минусинская улица, 8",40.0/25.0/6.0,"6/9, Кирпичный",наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79150622173,"Сдается 2-комнатная квартира с застекленной лоджией. Вся бытовая техника и мебель для комфортного проживания в наличии. Транспортная доступность. От метро Бабушкинская 4 остановки на автобусе. Развитая инфраструктура. Рассмотрим всех приличных., 20 фото",Косметический,,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,2.64,Пасс (1),Да,https://www.cian.ru/rent/flat/317710093
316851362,"2, Изолированная",Квартира,м. Медведково (9 мин на машине),"Москва, Лосевская улица, 5",56.0/48.0/6.0,"7/14, Кирпичный",наземная,"65000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79327202650,"Квартира от собственника, посредникам не звонить 

Предлагается в аренду уютная двухкомнатная квартира на 7-м этаже 14-этажного кирпичного дома на Лосевской улице, недалеко от метро Медведково. Общая площадь квартиры составляет 56 кв. м, из которых 48 кв. м — жилая, а кухня занимает 6 кв. м. Высота потолков составляет 2.7 метра, что добавляет пространству воздуха и света.

В квартире выполнен косметический ремонт. В комнатах и на кухне есть вся необходимая мебель для комфортной жизни. Из техники присутствуют кондиционер, холодильник, телевизор и стиральная машина. В ванной комнате установлена ванна, а совмещенный санузел оформлен с учетом современных требований. Окна квартиры выходят как на улицу, так и во двор, поэтому в квартире всегда много света и свежего воздуха. Также есть лоджия, где приятно проводить время на свежем воздухе.

Дом находится в хорошем состоянии, оборудован как пассажирским, так и грузовым лифтом. На территории дома предусмотрена наземная парковка для автомобилей, ..., 17 фото",Косметический,,Лоджия (1),На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,2.7,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/316851362
317369838,"2, Изолированная",Квартира,м. ВДНХ (21 мин пешком),"Москва, улица Бориса Галушкина, 26",62.0/32.0/9.0,"3/8, Кирпичный",наземная,"68000.0 руб./ За месяц, Залог - 68000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79152971448,"Сдается прекрасная 2-комнатная квартира в кирпичном сталинском доме с потолками 3.2м!

В квартире есть все необходимое для комфортного проживания:
кондиционеры и ТВ в каждой комнате;
очень много мест для хранения вещей;
в гостиной большой раскладной диван;

Оперативный показ.

Приличные соседи. Всегда есть место для парковки.
Престижный зелёный Алексеевский район с высокоразвитой инфраструктурой. Школы, детские сады, супермаркеты, кафе. В пешей доступности парк Сокольники, где есть всё для отдыха и занятий спортом: несколько школ верховой езды, беговые лыжи и каток зимой, летом розарий, открытый бассейн и вейкборд на Путяевских прудах! 3 фитнес-клуба и бассейны в пешей доступности.
Отличная транспортная доступность! 15 минут пешком до ст.м. Алексеевская или ВДНХ. 5 минут до ж/д станции Малинковская. 5 минут до выезда на ТТК/Проспект Мира/Ярославское шоссе., 27 фото",Евроремонт,,,На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,3.2,Пасс (1),Да,https://www.cian.ru/rent/flat/317369838
314817104,2,Квартира,м. Алексеевская (2 мин пешком),"Москва, проспект Мира, 112",52.0/30.0/6.0,"3/9, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79806618328,"двух комнатная квартира, вторая комната совмещена с кухней, окна выходят на проспект, кондиционеры, мебель, в 50 метрах от метро Алексеевская, сдает собственник, агентам не беспокоить!!!, 5 фото",Косметический,,,На улицу,,,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,3.0,Пасс (2),Нет,https://www.cian.ru/rent/flat/314817104
317168338,"2, Изолированная",Квартира,м. Свиблово (8 мин на машине),"Москва, улица Вешних Вод, 2К1",57.4/32.0/9.0,"13/14, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79803981780,"Предлагается в долгосрочную аренду 2х-комнатная квартира (57,4 m2), г. Москва, ул. Вешних Вод, д. 2, к. 1, в современном и благоустроенном квартале города, рядом с уютным и живописным парком с прудом.

Комнаты изолированные, выполнен качественный ремонт, есть вся необходимая мебель и техника для комфортного проживания, просторная лоджия, СУ раздельный. Бывший ведомственный дом, территория охраняется шлагбаумом, благополучные соседи.

В районе вся необходимая инфраструктура в шаговой доступности: гипермаркет, поликлиника, кафе и рестораны, школа, детские сады, МГСУ, СОК, места для пикников, занятий на свежем воздухе, прогулок с детьми и домашними питомцами в лесопарке в шаговой доступности, во дворе всегда есть парковочные места. Рядом остановка общественного транспорта и маршрутного такси, станция МЦК Ростокино 6 мин. транспортом. До ст. Лосиноостровская 15 мин пешком. Удобный выезд на МКАД без пробок. Во дворе всегда есть свободные места для парковки автомобиля.

Стоимость 70.000 р/ме ..., 15 фото",Дизайнерский,,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,"Пасс (1), Груз (1)",,https://www.cian.ru/rent/flat/317168338
317742151,"2, Изолированная",Квартира,м. ВДНХ (16 мин пешком),"Москва, улица Бориса Галушкина, 15",55.5/9.2,2/8,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230734408,"СДАЕТСЯ ВПЕРВЫЕ! 
Уютная двухкомнатная квартира в тихом районе и пешей доступностью 10 минут до метро ""ВДНХ"". Общая площадь квартиры составляет 55.5 кв. м, расположена на 2 этаже 8-этажного дома .
 Прекрасный вариант для комфортного проживания. В квартире сделан косметический ремонт. Комнаты меблированы, на кухне также есть вся необходимая мебель. Из техники в вашем распоряжении кондиционер, холодильник, свч, телевизор и стиральная машина. Санузел раздельный, в ванной установлена ванна. Отличная звукоизоляция, поэтому в квартире всегда тихо и спокойно.
 Дом 1958 года находится в хорошем состоянии, оборудован пассажирским лифтом. Для вашего автомобиля предусмотрена наземная парковка (всегда есть места). В доме подключен интернет, что обеспечит вам комфортное проживание.
 Район отлично развит: рядом находятся школы, детские сады, поликлиника, магазины (Магнит, Вкусвилл, Фикспрайс и т.д.), кафе. До метро ""ВДНХ"" всего 10 минут пешком, что позволит вам посетить пешком Останкинскую телебашню ..., 39 фото",Косметический,,,,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/317742151
317753228,"2, Изолированная",Квартира,м. ВДНХ (6 мин пешком),"Москва, проспект Мира, 124К14",50.0,5/5,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79315546798,"Ищу вместо себя замену, так как уезжаю в другой город. Прожил меньше года, поэтому надо найти арендатора, чтобы хозяин вернул мне залог. Подписание договора с собственником квартиры. Заезд с 8 июня., 11 фото",Евроремонт,,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/317753228
317705018,2,Квартира,м. Ботанический сад (14 мин пешком),"Москва, Сельскохозяйственная улица, 11К2",56.0/38.0/10.0,"4/5, Кирпичный",,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79852062920,"Предлагается двухкомнатная квартира в 13-15 минутах от ВДНХ. В планировке - гостиная и спальня с комплектом мебели. Кухня оборудована бытовой техникой, включая духовую печь. Установлены сплит-система и бойлер. Окна выходят во двор. 

Во дворе - детская площадка. Рядом детские сады, школы, театр, магазины, кафе, фитнес-клубы и спортшкола, медицинские центры. В 10-11 минутах ходьбы - парк спорта Яуза и Акведук. Метро ""Ботанический сад"" - в 13-15 минутах. Удобный выезд на проспект Мира и ТТК.

 - Квартиру представляет агент Capital Mars - Артем.
 - ID объекта 311781., 15 фото",,,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Ванна, Стиральная машина, Кондиционер, Телевизор, Интернет",I-410 (модификация I-410 (САКБ)),2.8,,,https://www.cian.ru/rent/flat/317705018
317425783,"2, Изолированная",Квартира,м. Улица Сергея Эйзенштейна (11 мин пешком),"Москва, Сельскохозяйственная улица, 11К2",56.0/7.0,4/5,наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79230740158, +79230768953","Сдается уютная двухкомнатная квартира в прекрасном районе. От собственника. Рядом ВДНХ, Ботанический сад, парк. До метро Ботанический сад 12 минут пешком. Вид во двор. Очень тихо. Ремонт делали для себя. Рядом детский сад, школа. 
Идеально для семьи с детьми. На кухне стена с героями из мультфильма Бэмби.
Квартира готова к заселению - есть всё необходимое для полноценного проживания.
Оборудована всей бытовой техникой.
Без комиссии. Залог 80000р., 17 фото",Евроремонт,,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/317425783
317518426,2,Квартира,м. Лианозово (16 мин пешком),"Москва, улица Леваневского, 23С4",70.0/40.0/15.0,"2/3, Кирпичный",подземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79339380053,"БЕЗ КОМИССИИ для арендатора.

Предлагается 2-комнатная квартира общей площадью 70 м² недалеко от станции метро ""Лианозово"". Для комфортного проживания в наличии имеется вся необходимая мебель. Кухонный гарнитур оснащен посудомоечной машиной, духовой печью. Для удобства организована гардеробная комната. Окна обращены во двор и на улицу.

Из основных достоинств дома: подземный паркинг.

 - Все коммунальные платежи, включая счётчики, входят в стоимость аренды.
 - Страховой депозит можно оплатить 2-мя частями.
 - В стоимость входит 1 место на подземной парковке.
 - Можно с детьми.

 - Объект представляет агент Capital Mars - Александр.
 - ID объекта 659379., 9 фото",,,,На улицу и двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Интернет",,2.9,,,https://www.cian.ru/rent/flat/317518426
316332081,"2, Изолированная",Квартира,м. ВДНХ (18 мин пешком),"Москва, улица Павла Корчагина, 13",57.0/33.0/8.0,"4/11, Кирпичный",наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79169720902,"Арт. 101425234 Сдается прекрасная 2-комнатная квартира в кирпичном генеральском доме.

В квартире ест все необходимое для комфортного проживания:
кондиционеры и ТВ в каждой комнате;
в кухне посудомоечная машина.
очень много мест для хранения вещей;
большая лоджия 6 м.;
в гостиной большой раскладной диван;
ванна, гигиенический душ в туалете.

Оперативный показ.

Чистый просторный подъезд, приличные соседи. Всегда есть место для парковки.
Престижный зелёный Алексеевский район с высокоразвитой инфраструктурой. Школы, детские сады, супермаркеты, кафе. В пешей доступности парк Сокольники, где есть всё для отдыха и занятий спортом: несколько школ верховой езды, беговые лыжи и каток зимой, летом розарий, открытый бассейн и вейкборд на Путяевских прудах! 3 фитнес-клуба в пешей доступности.
Отличная транспортная доступность! 15 минут пешком до ст.м. Алексеевская или ВДНХ. 5 минут до ж/д станции Малиновская. 5 минут до выезда на ТТК/Проспект Мира/Ярославское шоссе., 22 фото",Евроремонт,20-13,,На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,Пасс (2),,https://www.cian.ru/rent/flat/316332081
317409233,2,Квартира,м. Бутырская (3 мин пешком),"Москва, Огородный проезд, 17",62.0/34.0/11.0,"3/7, Кирпичный",,"87000.0 руб./ За месяц, Залог - 87000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79947781659,"Предлагается 2-комнатная квартира общей площадью 62 м² недалеко от станции метро ""Бутырская"". Высокие потолки увеличивают пространство, наполняя его светом. Для комфортного проживания в наличии имеется вся необходимая мебель. Кухонный гарнитур оснащен посудомоечной машиной, духовой печью. Для удобства организована кладовая. Из дополнительных преимуществ - наличие балкона. Окна обращены во двор, обеспечивая тишину.

 - Страховой депозит можно оплатить 2-мя частями.
 - Можно с детьми и животными.

 - Объект представляет агент Capital Mars - Александр.
 - ID объекта 628405., 7 фото",,,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Кондиционер, Посудомоечная машина, Интернет",,3.0,Пасс (1),,https://www.cian.ru/rent/flat/317409233
317833992,"2, Оба варианта",Квартира,м. Отрадное (16 мин пешком),"Москва, улица Римского-Корсакова, 10",53.0/30.0/15.0,2/16,наземная,"87000.0 руб./ За месяц, Залог - 89000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79813704923,"Предлагается в аренду с 6 июня, уютная двухкомнатная квартира площадью 53 кв. м в районе Отрадное. Она расположена на 2-м этаже 16-этажного дома. До метро Отрадное всего 16 минут пешком. Удобная планировка: жилая площадь — 30 кв. м, просторная кухня — 15 кв. м. Окна выходят во двор, что обеспечит вам тишину и уют.

Квартира с евроремонтом, полностью готова к проживанию. В комнатах и на кухне установлена мебель, есть все необходимое: кондиционер, холодильник, телевизор, стиральная и посудомоечная машины. В санузле современная душевая кабина. На лоджии можно обустроить зону отдыха. Подключен интернет.

Дом ухоженный, оборудован двумя пассажирскими и одним грузовым лифтами. Есть мусоропровод и пандус для удобного доступа. На территории дома предусмотрена наземная парковка.

Район с развитой инфраструктурой: в пешей доступности школы, детские сады, клиники и магазины. Отличное транспортное сообщение позволяет быстро добраться до любого района города.

Условия аренды: комиссия 50%, предопла ..., 14 фото",Евроремонт,,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,"Пасс (2), Груз (1)",Да,https://www.cian.ru/rent/flat/317833992
285278811,2,Квартира,м. Бутырская (3 мин пешком),"Москва, Огородный проезд, 17",62.0/34.0/13.0,"3/7, Кирпичный",наземная,"87000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79164318096,"Аренда от СОБСТВЕННИКА БЕЗ КОМИССИИ!!!Сдаётся в аренду 2-х комнатная просторная квартира на длительный срок. Квартира с дизайнерским ремонтом полностью оборудована мебелью хорошем состоянии.Просторная кухня-гостиная с гарнитуром и встроенной техникой, имеется всё необходимое для комфортного проживания. Просторная спальная комната с выходом на балкон, большой санузел.       Дом расположен рядом метро Бутырский, от дома до метро 1 минута пешком!       Отличная транспортная доступность рядом также метро Фонвизина и Дмитровская ,  мцк Останкино.   Развитая инфраструктура района, рядом школа и детский сад, парк Останкино!   ОБЪЯВЛЕНИЕ АКТУАЛЬНО, 15 фото",Дизайнерский,,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,3.2,Пасс (1),Да,https://www.cian.ru/rent/flat/285278811
