ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
304722112,2,Квартира,м. Деловой центр (11 мин пешком),"Москва, 2-й Красногвардейский проезд, 8А",52.6/30.8/10.0,"8/14, Кирпичный",наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79105422052,"Предлагаем Вашему вниманию просторную 2-х комнатную квартиру с изолированными комнатами, большой кухней, раздельным санузлом, 2-мя застекленными балконами. В ближней комнате установлен кондиционер, расположена большая двухспальная кровать, рабочий стол, большая плазма, мини-стенка для декора и расположения мелких предметов. В дальней комнате (налево от входа) установлен вместительный, многосекционный шкаф-купе, позволяющий разместить гардероб и аккуратно распределить личные вещи и большой раскладывающийся диван-кровать. Направо от входа установлена стойка-шкаф для одежды, далее ванная со стиральной машинкой, туалет и кухня, укомплектована 2-х комфорочной индукционной панелью, духовым шкафом Electrolux, холодильник, микроволновка, чайник, посуда. Отличный вид на Москва - Сити. Территория огорожена шлагбаумами, въезд по коду. Всегда есть места. До Сити - 5 минут пешком. Тихо, мало людей. Спокойно, комфортно., 10 фото",Евроремонт,,Балкон (2),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,2.64,Пасс (2),Да,https://www.cian.ru/rent/flat/304722112
316615668,2,Квартира,м. Красносельская (2 мин пешком),"Москва, Краснопрудная улица, 11",45.0/30.0/7.0,"4/8, Кирпичный",наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79168506819,"Агент Нора, комиссия 50%
Предлагается уютная 2х-комнатная квартира. Ремонт евро с элементами декора. 
Уникальная локация, 30секунд от метро Красносельская. Окна выходят в тихий камерный зелёный двор.

Студия: кухня совмещена с просторной гостиной и отдельная небольшая спальня. Установлены стильные раздвижные двери. Оборудована всей необходимой современной техникой (в том числе посудомоечная машина и кондиционер) и мебелью. Продуманная система для хранения вещей (2 вместительных встроенных шкафа).

Санузел совмещённый, ванная. Балкон (не остеклён). Чистый подъезд, ухоженный двор.
Парковка стихийная, на огороженной территории за небольшой взнос в управляю компанию. Места всегда есть.

Удобная локация:  метро Красносельская через небольшую дорогу, до м. Сокольники и м.Бауманская - 10 мин. пешком,12 мин до м.Комсомольская. Удобный выезд на ТТК, рядом знаменитый парк Сокольники, кафе, 2 торговых центра, поликлиники и т.д.
СТРОГО НА ДЛИТЕЛЬНЫЙ СРОК. Стоимость 90т.р.+ счётчики (электр.,вода,) ..., 21 фото",Дизайнерский,,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.7,Пасс (1),Да,https://www.cian.ru/rent/flat/316615668
317144146,"2, Оба варианта",Квартира,м. Фрунзенская (5 мин пешком),"Москва, 1-я Фрунзенская улица, 6",44.0/27.0/6.0,"4/10, Кирпичный",открытая,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79857420268,"Вашему вниманию предлагается уютная двухкомнатная квартира в элитном районе Москвы. Полностью меблирована, кондиционеры в обеих жилых комнатах. 1,5 санузла. Великолепная инфраструктура, пешая доступность до метро. Сдается с 1 июня, показы возможно ранее по предварительной договоренности. 

Арт. 26166150, 9 фото",Дизайнерский,11-16,,Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/317144146
317280739,"2, Изолированная",Квартира,м. Комсомольская (5 мин пешком),"Москва, Новорязанская улица, 2/7",55.0/33.0/9.0,3/6,наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79168153956,"Вашему вниманию предлагается двухкомнатная квартира, изолированные комнаты, свежий ремонт, высота потолка 3.25, в гостиной эркер, вся необходимая мебель. Кухня отдельная, вся необходимая бытовая техника, посудомоечная машина, стиральная машина и холодильник. Территория дома огорожена, паркинг имеется., 17 фото",Дизайнерский,,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,Пасс (1),Да,https://www.cian.ru/rent/flat/317280739
313543387,2,Квартира,м. Павелецкая (5 мин пешком),"Москва, Большая Пионерская улица, 20",52.0/27.0/18.0,"2/6, Кирпичный",подземная,"95000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79168162217,"Дом огорожен , въезд через шлагбаумы( 2 ) 
В стоимость входит Машиноместо в подземном паркинге .
Охрана, 14 фото",Дизайнерский,,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник",,3.0,Пасс (1),Нет,https://www.cian.ru/rent/flat/313543387
316819437,"2, Оба варианта",Квартира,м. Красные ворота (5 мин пешком),"Москва, Новая Басманная улица, 4-6С3",46.0/31.0/7.0,"6/8, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79154805426,"Сдаём на длительный срок квартиру рядом с станцией метро Красные Ворота. Квартира улучшенной планировки, дизайнерский ремонт.Возможна замена дивана на двухспальную кровать. Спальня на одну сторону дома, большая кухня с местом для отдыха, на другую сторону дома. Все окна выходят в тихий зелёный двор. Раздельный санузел, тёплые полы, кондиционер, посудомоечная машина на кухне. Спокойные интеллигентный соседи, парковочное место во дворе. 
Сдаем на длительный срок, оперативный просмотр и заселение. 
Звоните. Если не можете дозвониться, оставляйте сообщения : спам - система сайта иногда не пропускает звонки., 12 фото",Дизайнерский,,,Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник",,3.0,Пасс (1),,https://www.cian.ru/rent/flat/316819437
313966592,2,Квартира,м. Парк Культуры (7 мин пешком),"Москва, Комсомольский проспект, 9",42.0/20.0/12.0,8/8,,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев",+79853257741,"Предлагается в аренду на несколько месяцев, до июля 2025 г. В связи с продажей. Уютная квартира в престижном районе города. Планировка: спальня, студия. Выполнен высококачественный ремонт по авторскому дизайн- проекту, установлена качественная сантехника. Все материалы и комплектующие импортные. Встроенная кухня (коллекция Римини ) с бытовой техникой и комплектующими производства Италии. Полностью меблирована. Из окон открывается панорамный вид на Москву, Храм Христа Спасителя, Храм Николая Чудотворца в Хамовниках. Прекрасная транспортная доступность через Садовое кольцо, Комсомольский проспект, 3- е транспортное кольцо и Фрунзенскую набережную. Рядом набережная, пешеходный мост в Парк Горького, сад Мандельштама. ЛОТ 53770, 11 фото",Евроремонт,,,На улицу и двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),Да,https://www.cian.ru/rent/flat/313966592
317141113,"2, Изолированная",Квартира,м. Баррикадная (11 мин пешком),"Москва, переулок Капранова, 6",50.0/30.0/7.0,"6/14, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79167909431,"Арт. 82002791.  Предлагается 2 х комнатная квартира в 3 минутах от метро Краснопресненская. Дом в тихом месте. В кирпичном доме. Квартира после ремонта. Квартира: светлая, просторная, со всем необходимым для комфортной жизни. Комнаты изолированные, совмещённый санузел с ванной, прихожая, отдельная кухня, теплая застеклённая лоджия на две комнаты. Мебель и техника в наличии, кондиционер. Что то из мебели можно убрать. как пустую или доставить. Замечательный район, рядом сквер, парк. Развитая инфраструктура. Бонус: парк буквально в двух шагах .  Можно с животными!, 33 фото",Евроремонт,,Лоджия (1),На улицу и двор,Совмещенный (1),,"Мебель в комнатах, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник",,2.9,,,https://www.cian.ru/rent/flat/317141113
317772246,3,Квартира,м. Площадь Ильича (10 мин пешком),"Москва, Малый Рогожский переулок, 11",80.0/60.0/9.0,2/4,наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79339447032,"ВАШЕМУ ВНИМАНИЮ! 

ЗАЛОГ МОЖНО РАЗБИТЬ НА ДВА МЕСЯЦА.
ВСЕ ЖИВОТНЫЕ ОБСУЖДАЮТСЯ В ИНДИВИДУАЛЬНОМ ПОРЯДКЕ.

Сдается уютная трехкомнатная  квартира в спальном районе! 

В квартирe есть всё необходимое для жизни. Плита, духовка, холодильник, телевизор, спальное место, шкафы для хранения одежды, стиральная машина.

Район имеет развитую инфраструктуру, рядом есть школа, детский сад и места общего досуга, магазины. 

Соседи тихие, спокойные. 
Приятный собственник. 
Звоните и/или пишите!, 9 фото",Евроремонт,,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/317772246
317355907,"2, Изолированная",Квартира,м. Бауманская (10 мин пешком),"Москва, улица Фридриха Энгельса, 43-45",38.0/22.0/7.1,"4/9, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79167212968,"Красивая квартира с дизайнерским ремонтом, в пешей доступности от метро.
Тихо, окна во двор, на 2 стороны, рядом храм.
Добротный ведомственный  кирпичный дом, во дворе шлагбаум.
В квартире все продумано до мелочей. Есть посудомоечная машина, кондиционер, новая двух спальная кровать 1 м 60 см, новые замки входной двери. В квартире 2-х сторонние зеркальные двери, вместительный шкаф-купе.
Квартира ранее не сдавалась.
Строго без детей и животных., 46 фото",Дизайнерский,,Балкон (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.6,Пасс (1),Да,https://www.cian.ru/rent/flat/317355907
317283458,"2, Изолированная",Квартира,м. Павелецкая (10 мин пешком),"Москва, Космодамианская набережная, 46-50С1",59.0/35.0/9.0,"2/9, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79153060339, +79152969067",Err:501,Евроремонт,20-15,,На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,3.2,Пасс (1),,https://www.cian.ru/rent/flat/317283458
317597718,"2, Оба варианта",Квартира,м. Менделеевская (11 мин пешком),"Москва, Угловой переулок, 2",47.0/17.0/7.0,"4/10, Кирпичный",открытая,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79857420268,"Вашему вниманию предлагается уютная двухкомнатная квартира в премиальной московской локации. Планировкой предусмотрены кухня, совмещенная с гостиной и изолированная спальня. В наличии вся необходимая мебель и техника, в том числе посудомоечная машина, кондиционеры (в каждой комнате), телевизоры (в каждой комнате), просторные места хранения. Санузел с ванной. Приятный собственник. Дом находится на огороженной территории, есть парковка. Пешая доступность до метро. Сдается на длительный срок приличным платежеспособным арендаторам. Воспитанные питомцы обсуждаются. Звоните, уважаемые клиенты.

Арт. 63649001, 13 фото",Евроремонт,17,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.8,Пасс (1),,https://www.cian.ru/rent/flat/317597718
277157681,"2, Смежная",Квартира,м. Савёловская (11 мин пешком),"Москва, улица Бутырский Вал, 52",62.0/34.0/9.0,"3/9, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79104282336,"Сдаётся квартира в ЦАО. Развиты район. Замечательный собственник. Самое выгодное предложение на районе. Оперативный показ. Животные обсуждаются индивидуально. Страховой платёж готовы разделить на два платежа. Спешите., 6 фото",Косметический,,Балкон (1),На улицу и двор,Совмещенный (1),Можно с животными,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,2.64,Пасс (1),Да,https://www.cian.ru/rent/flat/277157681
314782839,"2, Изолированная",Квартира,м. Улица 1905 года (20 мин пешком),"Москва, Красногвардейский бульвар, 7А",47.0/30.0/10.0,"4/5, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79813729835, +79858661331","Номер лота - 2674004
ГАРАНТИИ КОМПАНИИ!!! СТРОГО БЕЗ ДЕТЕЙ!!! СТРАХОВОЙ ДЕПОЗИТ РАЗБИВАЕТСЯ НА 2 МЕСЯЦА!!! Кирпичный дом индивидуальной планировки. Качественный ремонт.Кухня -гостиная, изолированная спальня. Кухонный гарнитур встроенный со всей бытовой техникой.  Современная мебель. Встроенные шкафы-купе.Бойлер для воды. Кондиционер.Новая душевая кабина. Застекленный балкон. Подъезд после свежего ремонта. Парковка в закрытом дворе, шлагбаум. Тихий, удаленный от дороги двор. Рядом Афимолл, Пресненский парк, пруд, отличное место для отдыха. ВВЦ, хорошая транспортная развязка. Красивый вид из окна на Москву Сити. Во дворе парковка , под шлагбаум. Дом стоит в тихом месте.БЕЗ ЖИВОТНЫХ!!! ИНКОМ-Беляево., 19 фото",Евроремонт,10-20,Балкон (1),,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/314782839
317610672,"2, Смежная",Квартира,м. Москва-Сити (13 мин пешком),"Москва, 3-я Красногвардейская улица, 2",45.0/27.0/8.0,"4/5, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79151164845,"Уютная евро двушка со всем необходимым для комфортного проживания в зеленом районе в шаговой доступности от метро. Рядом парк с прудом- прекрасное место для вечерних прогулок и утренних пробежек. Во дворе всегда есть парковочные места, арендодатель предоставит возможность  подъезда к дому через шлагбаум. Рассмотрим аккуратных и добропорядочных арендаторов., 21 фото",Косметический,,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,3.0,,,https://www.cian.ru/rent/flat/317610672
317518463,"3, Оба варианта",Квартира,м. Пролетарская (15 мин пешком),"Москва, Средняя Калитниковская улица, 10",57.0/43.0/6.0,"3/9, Кирпичный",,"78000.0 руб./ За месяц, Залог - 78000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230769426,"Предлагается 3-комнатная квартира общей площадью 57 м² недалеко от станции метро ""Пролетарская"". Для комфортного проживания в наличии имеется вся необходимая мебель, а также кондиционер. Кухонный гарнитур оснащен духовой печью. Подключена стиральная машина. Из дополнительных преимуществ - наличие балкона. Окна обращены во двор и на улицу.

 - Страховой депозит можно оплатить 2-мя частями.
 - Можно с детьми.

 - Объект представляет агент Capital Mars - Елена.
 - ID объекта 827468., 10 фото",,,Балкон (1),На улицу и двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Стиральная машина, Кондиционер, Интернет",II-29,2.7,Пасс (1),,https://www.cian.ru/rent/flat/317518463
317643382,2,Квартира,м. Пролетарская (15 мин пешком),"Москва, Малая Калитниковская улица, 9",50.0/32.0/7.0,"8/9, Кирпичный",,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79802841850,"Предлагается 2-комнатная квартира общей площадью 50 м² недалеко от станции метро ""Пролетарская"". Для комфортного проживания в наличии имеется вся необходимая мебель. Из дополнительных преимуществ - наличие балкона, лоджии. Окна обращены во двор, обеспечивая тишину.

 - Страховой депозит можно оплатить 2-мя частями.
 - Можно с детьми и животными.

 - Объект представляет агент Capital Mars - Илья.
 - ID объекта 862121., 15 фото",,,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Стиральная машина, Кондиционер, Интернет",,2.7,,,https://www.cian.ru/rent/flat/317643382
